total_bill,tip,sex,smoker,day,time,size
39.42,7.58,Male,No,Sat,Dinner,4
30.4,5.6,Male,No,Sun,Dinner,4
32.4,6,Male,No,Sun,Dinner,4
34.81,5.2,Female,No,Sun,Dinner,4
48.27,6.73,Male,No,Sat,Dinner,4
29.93,5.07,Male,No,Sun,Dinner,4
29.85,5.14,Female,No,Sun,Dinner,5
50.81,10,Male,Yes,Sat,Dinner,3
7.25,5.15,Male,Yes,Sun,Dinner,2
23.33,5.65,Male,Yes,Sun,Dinner,2
23.17,6.5,Male,Yes,Sun,Dinner,4
25.89,5.16,Male,Yes,Sat,Dinner,4
48.33,9,Male,No,Sat,Dinner,4
28.17,6.5,Female,Yes,Sat,Dinner,3
29.03,5.92,Male,No,Sat,Dinner,3
